b r	1
l r	13
© r	129
a r	280
s r	1860
gt-	1
© q	6
 qu	164
qqn	1
s q	46
rzi	1
pyt	3
zzl	1
l-o	1
syc	16
eud	1
¢lo	2
'ho	1
ßal	2
oje	13
©f.	1
l q	4
 pr	1102
.p.	1
n-i	4
uzz	1
stn	1
ush	2
poo	1
lyn	1
ycu	1
oke	2
gi√	8
 pl	304
q√ª	2
n-u	1
g-p	1
pim	4
hti	2
you	3
-su	1
erq	12
etc	1
sty	25
yle	4
ßut	1
-b√	5
f p	12
y p	2
wor	1
g p	3
ioa	3
etr	79
ebo	31
apy	1
u p	14
pam	2
tep	1
hle	1
vig	24
za√	2
¢mi	1
r p	227
s p	1498
iaf	9
© p	128
t p	779
sfu	15
e p	592
neq	1
 oz	2
d p	4
xhy	1
d o	1
o-r	2
v√¢	1
h r	1
©ag	11
 oh	1
oh 	1
oes	3
 od	9
bve	24
 oe	28
ru√	1
rua	8
n o	27
obj	15
o√π	1
 ob	175
s o	297
√¥ 	1
 ny	5
eru	1
©aj	6
. n	1
i u	3
n-c	8
uot	5
uks	1
´l 	1
u n	2
 tz	1
©oc	23
o n	1
 n√	63
hoo	2
elq	2
aja	1
naj	1
¢tu	3
√Øv	3
r n	26
 na	128
jux	13
n' 	1
myt	5
yrr	1
 my	27
c-h	1
ic-	1
ªri	11
s-u	1
ued	1
x-d	1
osk	1
dov	1
mok	2
oel	1
chn	10
 mn	1
ldi	2
jot	5
l p	28
zzo	1
¥no	1
-cr	1
 oc	82
hwo	1
nip	15
rd-	4
-or	4
hod	5
sde	1
sda	1
 mo	486
®ze	4
med	2
x o	17
 me	174
aki	1
 th	48
o m	5
uo 	1
axw	1
©ez	1
ªr 	1
rty	16
jua	1
mam	3
f n	4
thu	4
lnu	1
alh	6
-ov	1
lfa	9
jor	25
aje	14
u m	9
ah-	1
mee	1
 m√	356
© m	73
uze	3
xur	4
kou	2
ux√	1
t√†	2
p-g	1
uko	1
 nu	53
oum	19
g. 	1
oiq	1
ogg	1
 ly	18
loa	1
l m	23
g l	2
√©u	43
m m	6
oja	1
lil	3
©za	6
yte	7
®pr	1
ivs	1
eit	2
†-r	1
eag	2
m√ª	7
eas	5
ead	2
bo 	1
ipr	6
f l	4
iny	1
ryn	6
yng	4
tsy	2
ary	9
d l	1
vni	1
uey	1
u l	6
z-p	1
ur-	3
tda	11
ids	1
pyg	1
Øci	1
Øc 	1
tzi	3
gop	2
wes	1
 l√	90
lve	9
 wa	8
oed	3
obt	33
a l	37
l l	7
eat	1
 kr	2
kho	4
t n	95
kol	4
 ko	4
 kn	1
yda	2
x-m	1
' l	1
jov	3
iwi	1
kiw	1
kit	1
kif	1
 ki	20
kid	12
idn	11
osl	1
m k	2
 ni	46
√©k	2
aol	1
n k	2
u k	1
kis	2
gia	12
 ka	13
s k	17
jut	2
anh	1
byi	1
da√	2
 ju	104
bby	1
u j	3
l j	1
ius	1
f j	1
joa	3
iu-	1
ªno	1
ªne	6
e√ª	6
 j√	4
uoi	4
jav	2
jar	14
ed√	29
d n	3
i j	4
n j	10
an-	1
¢le	8
z j	21
jag	1
r j	18
o√™	2
wai	2
 it	8
sra	3
isr	2
sla	13
isl	11
isb	1
foq	11
it-	2
 io	4
x j	3
uln	4
u o	2
nv√	2
ewe	4
a q	5
wer	3
w√©	2
ewa	3
erj	2
w i	1
qqc	1
i o	19
 pn	2
lms	2
odk	2
p√ß	14
bte	10
ntg	1
hyg	3
xom	1
aon	4
ufa	11
 j'	1
ct.	1
√®f	2
zzi	3
hup	4
c l	1
liu	2
pog	5
xue	7
ypn	17
std	12
-ha	1
. l	2
loo	4
nid	6
 je	30
xad	1
uxe	3
 za	2
heq	1
©gn	31
n-t	1
nof	1
ype	16
lym	10
 on	27
 ph	85
pae	1
¢mo	1
omu	14
ika	4
nhi	16
lpr	1
dox	7
myc	3
nij	2
u√Æ	1
© o	27
i- 	1
e n	114
g h	1
 le	57
iv 	1
p. 	1
 hl	1
i i	43
rxi	3
und	4
ªre	6
 ho	135
sby	1
mip	2
-qu	2
ay-	1
juc	3
ga-	2
lol	1
equ	19
d m	3
-ne	2
mo√	2
© j	11
a o	36
ynq	1
ft 	1
 ir	78
imm	85
lkh	3
r l	59
kyr	2
ych	22
t r	1327
jum	17
e j	42
 ja	101
-am	4
i l	21
o-u	2
ed-	1
pyj	1
ud-	7
oka	1
z m	159
 ib	1
ghi	1
Øve	1
lho	2
-di	5
-be	4
©ex	38
izo	3
 ol	11
my√	1
cke	18
ymi	2
ebr	4
n i	62
al-	4
moe	4
pap	28
elc	1
xyg	4
¥ta	1
t k	5
a i	97
a k	3
mik	1
umb	3
u-n	3
juk	2
yd√	3
a j	11
r-m	1
roh	7
Ø-c	1
-sp	1
iew	13
jok	2
arj	11
 p√	234
q. 	1
rsc	1
upp	102
©eu	2
-ph	3
d-n	1
lhe	2
 im	378
uxt	24
ruo	1
eje	12
-st	2
hex	4
hy√	1
√ªn	13
moh	1
yos	1
jas	8
tsk	1
pno	12
usp	26
ey 	2
'au	3
otr	4
m p	2
ll.	1
©or	21
 id	38
© i	87
r i	74
t i	462
z i	177
x i	12
i-b	1
uka	3
sys	21
oko	2
yqu	2
n-v	2
hta	1
 il	47
 √Æ	2
√Æl	2
-t-	1
n'e	1
yak	3
ygl	1
eum	1
imb	37
ht 	1
bje	22
t q	31
Ø-d	1
n l	29
ynd	16
mix	13
bnu	5
-ac	1
o i	3
uos	7
d-c	3
job	2
sup	161
uif	2
goc	14
©im	30
√©z	8
pub	18
pud	9
oc√	28
arx	1
©-p	1
m n	1
-la	2
ix 	9
n-r	7
m o	3
qqu	1
' q	1
Ø i	1
x m	22
©af	6
d. 	2
 no	218
rk 	1
sba	1
tsi	3
©av	2
wag	3
o-l	4
ova	30
nep	2
syp	2
hty	1
ffs	2
ulv	9
inh	26
azz	2
nhu	19
jup	5
©-s	1
nov	29
 kw	1
Øes	1
sfa	13
dna	12
p t	1
azu	1
btu	10
ubm	5
bme	10
suf	48
k-o	2
'oi	2
ogy	2
kar	1
efr	13
agl	1
lly	1
g r	2
s y	3
√¢p	11
¢p√	2
auq	1
©ac	38
©ad	6
ebl	1
epe	55
re√	3
u r	11
dma	1
rij	1
rdm	1
uev	10
ª r	1
o r	4
ecy	11
©dh	1
edr	11
efu	14
egs	1
reh	5
mak	1
ez-	2
oms	1
bez	1
nsf	47
©us	9
©ut	1
™va	8
√™v	25
™v√	2
™tu	8
evu	2
rha	12
pso	1
rho	4
 ri	124
rix	1
t√¢	25
iz 	1
izi	4
 ro	225
k r	1
cki	1
¥de	2
osb	1
ruf	15
 ry	13
' s	1
e s	444
 sa	425
t s	665
i s	77
r s	152
m s	6
d s	7
Ø s	1
wic	2
dwi	1
g-f	1
u s	5
f s	16
f-c	1
vam	2
xop	2
 sb	2
 sc	157
c s	4
©id	1
eiz	3
f-m	1
lfs	1
nev	2
t. 	1
lcr	3
ex-	3
eal	1
xol	1
exy	1
ow-	2
 si	174
icc	2
®cl	1
six	2
ska	2
teb	1
oar	1
ski	18
kie	6
kip	1
lal	1
vaq	11
g s	1
w-b	1
y x	1
obr	2
oi-	1
soj	1
lda	2
ouh	10
s-e	41
-mu	2
eak	1
nak	1
een	1
lee	1
 sq	8
w s	1
tee	1
yp√	1
ck√	3
ubt	12
p-t	3
ryc	1
ubd	13
ubj	13
bod	12
bsi	13
ubu	3
sud	3
gg√	12
gge	14
j√©	1
lky	2
hts	1
rfi	7
upr	2
di-	1
usd	3
usv	1
sve	3
 sv	1
swa	1
swe	4
g-s	1
tak	1
swi	2
siu	1
ynt	12
syr	1
 t.	1
 t'	1
e t	281
r t	133
z t	141
c t	6
a t	82
 t√	152
n t	34
tae	2
ta√	1
vog	1
Øga	1
x t	17
-wa	2
lki	2
o t	2
ufe	1
xab	1
ee-	1
ek 	1
tek	1
©-e	1
Øla	2
√Øl	1
d'a	1
su-	1
gga	2
wk 	1
fu 	1
wat	3
neb	1
l'√	1
-pu	1
t-v	1
©e-	1
sf√	8
nsg	10
slu	2
smu	1
nsn	2
nss	2
sva	6
er'	1
bun	1
Øka	1
p-p	3
©-t	1
 t-	1
 tu	62
unn	1
eed	2
 ty	28
phu	1
c u	1
 uk	1
n u	7
t u	35
e u	22
 un	61
z u	8
 up	1
m u	1
 v.	1
s v	372
a v	35
© v	33
x v	19
z v	72
u v	9
r v	57
i v	25
l v	7
u-l	1
'ea	1
 ve	225
©h√	3
d v	1
dun	1
x√®	1
 vi	316
ngt	3
irg	2
© z	2
m v	1
vip	2
 vo	165
ey-	1
tm√	1
c v	1
s w	2
t w	3
